post_title,slug,sous_titre,cat_cours,prof_login,jour_de_cours,heure_debut,heure_de_fin,tarif_cours,info_complementaire,description_cours,pedagogie,echauffement_time,echauffement_description,exercice_time,exercice_description,choregraphie_time,choregraphie_description,styles_musiques,tenue,complete_cours,yoast_focus_kw,yoast_title,yoast_meta_desc,yoast_og_title,yoast_og_desc,notes
Street jazz,street-jazz-debutants,Débutants,danse-solo,perle,02day,20h,21h,,Prévoir une tenue et chaussures adaptées,"Mélange explosif entre la technique jazz et l'énergie du hip-hop, le street jazz est la danse des clips par excellence. On travaille l'attitude, les isolations et la puissance sur des sons urbains actuels. C'est le cours parfait pour se défouler en apprenant des chorégraphies stylées et percutantes.","Le premier trimestre est centré sur le groove de base et les isolations spécifiques du style urbain. Au deuxième trimestre, on travaille sur la puissance des bras et l'attitude scénique. L'année se clôture par une chorégraphie dynamique qui fusionne technique jazz et style street.",10 min,"Mise en mouvement urbaine : cardio, bouncing, isolations du buste et de la tête sur un tempo soutenu",20/30 min,"Technique street : on apprend les stop-and-go, les slides urbains et on travaille la force des arrêts de mouvement",20/30 min,Enchaînement Clip Style : on apprend une chorégraphie percutante avec un focus sur l'énergie et la précision des bras,"Pop urbaine (Rihanna, Beyoncé, JLo), Hip-hop, R&B, Afrobeats rythmés, titres actuels tendance","Tenue urban chic ou sportswear confortable (jogging, t-shirt ample). Baskets propres à semelle lisse ou chaussures de danse urbaine.",0,street jazz debutant lille,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique jazz. Débutants bienvenus.,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique jazz. Débutants bienvenus.,
Street jazz,street-jazz-intermediaires,Intermédiaires,danse-solo,perle,02day,21h,22h,,Prévoir une tenue et chaussures adaptées,"Pour ceux qui ont déjà les bases et veulent passer à la vitesse supérieure. On complexifie les isolations, on travaille sur la rapidité d'exécution et on affine le style personnel. On va chercher plus de performance, d'impact et une interprétation beaucoup plus marquée.","On commence par un travail de précision sur les isolations synchronisées dès la rentrée. Puis, au milieu d'année, on explore des chorégraphies demandant une plus grande endurance et une mémoire corporelle affûtée. L'année se finit sur un projet vidéo ou scénique ambitieux.",10 min,"Mise en rythme intense : cardio rapide, renforcement abdominal, isolations multiples et synchronisées sur musiques urbaines",20/30 min,"Technique avancée : jeux de pieds complexes (footwork), tours rapides en style urbain, travail des contrastes (lent/rapide)",20/30 min,Chorégraphie de performance : un enchaînement exigeant avec un fort impact visuel et un travail d'interprétation poussé,"Urban Pop sophistiquée, Hip-hop alternatif, musiques de haute performance, arrangements rythmiques complexes",Tenue urbaine stylée permettant une grande liberté de mouvement. Baskets de danse professionnelles recommandées.,0,street jazz intermediaire lille,,"Perfectionnez votre street jazz à Villeneuve d'Ascq. Performance, style et impact scénique.",,"Perfectionnez votre street jazz à Villeneuve d'Ascq. Performance, style et impact scénique.",
Éveil danse 1,eveil-danse-1,,enfants,isis,03day,09h20,10h05,,Prévoir une tenue adéquate,"Pour les plus petits (3-4 ans), c'est le moment de découvrir le plaisir de bouger en musique. À travers des jeux, des histoires et des explorations corporelles, on développe leur coordination et leur imaginaire de façon ludique et bienveillante. Un premier pas magique dans l'univers de la danse.","Sur le premier trimestre, on va privilégier la découverte globale du corps et la socialisation par le jeu dansé. Puis, au deuxième trimestre, on introduit la notion de rythme et d'espace grâce à des petites histoires à mimer. On clôture l'année avec une petite danse racontée pour valoriser leur confiance en eux.",10 min,Mise en mouvement ludique : on réveille petit à petit toutes les parties du corps en imitant des animaux ou des objets,20/30 min,"Jeux d'exploration : on apprend à se déplacer dans l'espace, à sauter, à ramper et à s'arrêter sur la musique",20/30 min,Petite séquence dansée sous forme de conte : les enfants apprennent à mémoriser quelques gestes simples en s'amusant,"Comptines revisitées, musiques douces et rythmées, bruits de la nature, musiques de dessins animés féériques","Tenue très confortable (legging, t-shirt). Pieds nus ou petites chaussettes antidérapantes. Pas de chaussures rigides.",0,eveil danse 3 ans villeneuve d ascq,,Premiers pas de danse à Villeneuve d'Ascq pour les 3-4 ans. Découverte ludique et bienveillante.,,Premiers pas de danse à Villeneuve d'Ascq pour les 3-4 ans. Découverte ludique et bienveillante.,
Éveil danse 2,eveil-danse-2,,enfants,isis,03day,10h20,11h05,,Prévoir une tenue adéquate,"On continue l'exploration (4-5 ans) en structurant davantage les mouvements. On travaille l'équilibre, le rythme et la mémoire gestuelle tout en gardant une grande part de créativité. Les enfants apprennent à danser ensemble et à apprivoiser l'espace scénique avec joie.","On va d'abord consolider les bases motrices et le travail des appuis. Puis, au deuxième trimestre, on commence à apprendre des premières figures chorégraphiques simples. L'année se termine par la construction d'une petite danse de groupe pour le gala annuel.",10 min,Mise en mouvement structurée : on prépare les articulations et on travaille l'équilibre sur une jambe de façon amusante,20/30 min,"Ateliers rythmiques : on apprend à frapper des mains et des pieds sur le tempo, et à coordonner ses bras avec la musique",20/30 min,Apprentissage d'une mini-chorégraphie : on mémorise des petits enchaînements de gestes pour raconter une histoire,"Musiques enfantines dynamiques, percussions joyeuses, extraits de ballets classiques pour enfants, chansons à thèmes",Justaucorps ou legging/t-shirt ajusté. On privilégie au maximum de danser pieds nus sur le parquet pour une meilleure stabilité.,0,eveil danse 4 ans lille,,Cours d'éveil danse pour enfants (4-5 ans) à Villeneuve d'Ascq. Rythme et coordination.,,Cours d'éveil danse pour enfants (4-5 ans) à Villeneuve d'Ascq. Rythme et coordination.,
Initiation danse,initiation-danse-debutants,Débutants,enfants,isis,03day,11h20,12h20,,Prévoir une tenue adéquate,"C'est l'étape où l'on découvre les premiers codes de la technique de danse. On place le corps, on travaille la souplesse et on apprend des enchaînements plus longs. On encourage l'expression personnelle tout en donnant des bases solides en jazz et moderne.","Le premier trimestre est dédié à l'apprentissage du placement et des premières positions. Au milieu d'année, on développe la coordination avec des pas de déplacement plus complexes. On termine l'année sur l'apprentissage de la chorégraphie du grand spectacle.",10 min,Mise en piste technique : on travaille le placement du dos et on commence les premiers étirements légers au sol,20/30 min,"Exercices au centre : on apprend les positions de base, les pliés, et les premiers sauts tout en respectant le rythme",20/30 min,Construction chorégraphique : les enfants apprennent à mémoriser un enchaînement structuré sur une musique dynamique,"Musiques pop enfantines, extraits de comédies musicales, percussions rythmées, musiques de films d'animation","Tenue de danse (legging, haut ajusté). Chaussons de danse souples ou pieds nus. Cheveux bien dégagés du visage.",0,initiation danse enfants lille,,Initiez votre enfant à la danse à Villeneuve d'Ascq. Bases techniques et plaisir de bouger.,,Initiez votre enfant à la danse à Villeneuve d'Ascq. Bases techniques et plaisir de bouger.,
Initiation danse,initiation-danse-inities,Initiés,enfants,asmy,03day,13h30,14h30,,Prévoir une tenue adéquate,On approfondit la technique pour les enfants initiés avec des exercices de coordination plus exigeants. On travaille la musicalité et la présence sur scène de façon ludique. C'est l'âge idéal pour développer leur passion et leur donner les outils pour s'épanouir.,"On consolide d'abord les acquis de l'initiation en précisant les gestes techniques. Puis, au deuxième trimestre, on travaille sur la fluidité et l'expression des émotions par le corps. L'année se finit sur une prestation collective ambitieuse.",10 min,Mise en mouvement cardio-dansée : on fait monter l'énergie et on travaille la souplesse de façon dynamique,20/30 min,"Technique dynamique : on apprend les chassés, les tours simples et on améliore la précision des bras et des jambes",20/30 min,Travail d'interprétation : on apprend à mettre de l'intention dans ses mouvements tout en suivant la chorégraphie,"Pop moderne, hits actuels adaptés, musiques de spectacles, arrangements rythmés",Tenue de danse complète abordée comme une tenue de répétition. Chaussons recommandés. Chevelure impérativement attachée.,0,cours danse inities villeneuve,,Cours de danse pour enfants initiés à Villeneuve d'Ascq. Technique et expression.,,Cours de danse pour enfants initiés à Villeneuve d'Ascq. Technique et expression.,
Initiation danse,initiation-danse-avances,Avancés,enfants,asmy,03day,14h40,15h40,,Prévoir une tenue adéquate,"Destiné aux enfants ayant déjà une belle maîtrise des bases, ce cours d'initiation avancé permet de repousser leurs limites. L'accent est mis sur l'amplitude, l'endurance, et une première approche de l'interprétation artistique plus réfléchie.","Un travail technique approfondi prépare les corps en première partie d'année. Par la suite, les élèves abordent des variations plus longues pour stimuler leur mémoire et leur autonomie chorégraphique en vue de représentations.",10 min,Préparation structurée incluant renforcement postural indispensable aux sauts et aux tours.,20/30 min,"Travail de diagonales, perfectionnement des développés et apprentissage de pirouettes maîtrisées.",20/30 min,Assemblage de séquences riches demandant une excellente écoute musicale et cohésion de groupe.,"Sons contemporains, musiques de scènes, et instrumentaux percutants.","Justaucorps, collants ou legging. Chaussons adaptés. Coiffure rigoureusement attachée.",0,cours danse avance enfant,,Cours de perfectionnement pour enfants à Villeneuve d'Ascq.,,Cours de perfectionnement pour enfants à Villeneuve d'Ascq.,
Danse moderne,danse-moderne-ados,Ados,ados,asmy,03day,15h50,16h50,,Tenue souple,"Ce cours spécialement conçu pour les adolescents offre un espace d'expression idéal. La danse moderne permet de travailler sa singularité, l'ancrage au sol et la musicalité dans une atmosphère créative et très dynamique.",Les ados consolident leur technique tout en développant une identité artistique qui leur est propre. Les ateliers font appel à leur ressenti émotionnel et aboutissent sur des pièces chorégraphiques intenses.,10 min,"Mise en disponibilité articulaire, focus sur le centre du corps et la respiration.",20/30 min,"Appuis, passage au sol, déséquilibres maîtrisés et rapport au poids.",20/30 min,"Phrasés fluides, souvent lyriques ou percutants, privilégiant les nuances motrices.","Pop indie, folk, artistes de variété contemporaine, expérimentations électroniques.","Vêtements amples, tee-shirt long, genouillères recommandées selon les séquences. Pieds nus ou chaussettes.",0,danse moderne ado lille,,Cours de danse moderne pour adolescents à Villeneuve d'Ascq.,,Cours de danse moderne pour adolescents à Villeneuve d'Ascq.,
Street jazz,street-jazz-mercredi,,danse-solo,isis,03day,17h,18h,,Prévoir une tenue et chaussures adaptées,"Mélange explosif entre la technique jazz et l'énergie du hip-hop, le street jazz est la danse des clips par excellence. On travaille l'attitude, les isolations et la puissance sur des sons urbains actuels. C'est le cours parfait pour se défouler en apprenant des chorégraphies stylées et percutantes.","Le cours s'articule autour du 'groove' fondamental et des isolations urbaines. L'objectif est de développer son identité scénique, en travaillant la musicalité des bras, la puissance des appuis et la maîtrise des arrêts (stop-and-go).",10 min,"Mise en mouvement urbaine : cardio, bouncing, isolations du buste et de la tête sur un tempo soutenu",20/30 min,"Technique street : on apprend les stop-and-go, les slides urbains et on travaille la force des arrêts de mouvement",20/30 min,Enchaînement Clip Style : chorégraphie percutante avec un focus sur l'énergie et l'attitude,"Pop urbaine (Rihanna, Dua Lipa), Hip-hop, R&B, Afrobeats rythmés, titres tendance","Tenue urban chic ou sportswear confortable (jogging, t-shirt ample). Baskets propres à semelle lisse.",0,cours street jazz lille,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique.,,Apprenez le street jazz à Villeneuve d'Ascq. Energie urbaine et technique.,
Danse orientale,danse-orientale-debutants,Débutants,danse-solo,valentina,03day,18h,19h,,Foulard à pièces bienvenu,"Laissez-vous envoûter par les rythmes de la danse orientale ! Destiné aux débutants, ce cours initie aux isolations, aux huit du bassin et aux tremblements (shims). C'est une célébration de la féminité et un excellent travail musculaire en douceur.","Apprentissage progressif des postures de base, respect du corps, et décryptage des rythmes orientaux fondamentaux pour vous amener vers de petits enchaînements gracieux.",10 min,"Réveil musculaire insistant sur le bassin, le dos et les chevilles.",20/30 min,"Technique d'isolations (bustrops, hip drops), coordination des arabesques et mouvements lents des bras.",20/30 min,Routines courtes et chaleureuses favorisant le lâcher-prise.,"Classique égyptien, pop orientale, rythmes de derbouka, influences libanaises.","Pantalon fluide, jupe longue, ou legging. Top ajusté pour bien voir les isolations du ventre. Pieds nus.",0,cours danse orientale lille,,Découvrez la danse orientale avec grâce et bienveillance à Villeneuve d'Ascq.,,Découvrez la danse orientale avec grâce et bienveillance à Villeneuve d'Ascq.,
Danse orientale,danse-orientale-intermediaires,Intermédiaires,danse-solo,valentina,03day,19h,20h,,"Accessoires possibles (voile, canne)","Perfectionnez votre technique avec des superpositions de mouvements, des déplacements plus élaborés et l'initiation aux accessoires phares de la danse orientale. Le cours aborde des styles variés allant du drum solo virtuose au baladi terrestre.","Conscientisation corporelle avancée, musicalité complexe sur des instruments spécifiques, et travail esthétique du mouvement sur l'année pour produire des chorégraphies scéniques abouties.",10 min,"Préparation posturale, assouplissement de la colonne et activation cardio douce.",20/30 min,"Superposition (layering) d'isolations, technique du voile ou de la canne selon la période.",20/30 min,Créations chorégraphiques longues faisant la part belle aux changements d'énergie (accents vs fluidité).,"Standards revisités, drum solos exigeants, folklore varié (saidi...).",Tenue orientale de répétition confortable. Foulard sur les hanches.,0,cours danse orientale avance,,Améliorez votre style et votre technique en danse orientale à Villeneuve d'Ascq.,,Améliorez votre style et votre technique en danse orientale à Villeneuve d'Ascq.,
Jazz solo,jazz-solo,,danse-solo,marion,03day,20h,21h,,Chaussures de danse conseillées,"Inspiré par les racines du jazz authentique et le modern'jazz, ce cours en solo explore la syncope, le rebond et l'expressivité. On y travaille les fondamentaux du mouvement jazz en favorisant à la fois la ligne et le grounding (ancrage au sol).","Après un solide renforcement technique orienté vers les isolations et les directions, le cours s'articule autour de chorégraphies jazzy très musicales, avec un travail régulier sur l'intention du regard et l'attitude.",10 min,"Mise en route jazz, pliés, roll down, et isolations rigoureuses du haut du corps.",20/30 min,"Diagonales, pas de bourrée, pirouettes jazz, pas chassés et kick.",20/30 min,"Enchaînement rythmé demandant précision, accentuation et théâtralité.","Jazz traditionnel, electro swing, blues, pop jazz, musiques de cabaret.","Tenue près du corps (legging, collant noir). Chaussons de jazz ou bottines de danse.",0,cours jazz solo lille,,Swinguez en solo ! Cours de jazz technique et expressif à Villeneuve d'Ascq.,,Swinguez en solo ! Cours de jazz technique et expressif à Villeneuve d'Ascq.,
